Quality	Count	sample
15	43.0	BC9_run2
16	306.0	BC9_run2
17	422.0	BC9_run2
18	657.0	BC9_run2
19	608.0	BC9_run2
20	712.0	BC9_run2
21	1073.0	BC9_run2
22	1310.0	BC9_run2
23	1411.0	BC9_run2
24	1448.0	BC9_run2
25	1695.0	BC9_run2
26	1935.0	BC9_run2
27	2340.0	BC9_run2
28	2923.0	BC9_run2
29	3712.0	BC9_run2
30	4932.0	BC9_run2
31	6594.0	BC9_run2
32	9559.0	BC9_run2
33	13732.0	BC9_run2
34	22500.0	BC9_run2
35	42221.0	BC9_run2
36	98960.0	BC9_run2
37	275249.0	BC9_run2
38	536847.0	BC9_run2
39	1666823.0	BC9_run2
16	18.0	BC8_run1
17	44.0	BC8_run1
18	93.0	BC8_run1
19	175.0	BC8_run1
20	342.0	BC8_run1
21	586.0	BC8_run1
22	813.0	BC8_run1
23	1394.0	BC8_run1
24	2085.0	BC8_run1
25	2730.0	BC8_run1
26	2974.0	BC8_run1
27	3066.0	BC8_run1
28	3305.0	BC8_run1
29	3897.0	BC8_run1
30	4481.0	BC8_run1
31	5241.0	BC8_run1
32	6332.0	BC8_run1
33	7552.0	BC8_run1
34	9546.0	BC8_run1
35	12509.0	BC8_run1
36	18325.0	BC8_run1
37	34128.0	BC8_run1
38	176628.0	BC8_run1
39	4292170.0	BC8_run1
9	1.0	BC11_run2
10	0.0	BC11_run2
11	0.0	BC11_run2
12	1.0	BC11_run2
13	0.0	BC11_run2
14	2.0	BC11_run2
15	6.0	BC11_run2
16	50.0	BC11_run2
17	98.0	BC11_run2
18	143.0	BC11_run2
19	275.0	BC11_run2
20	516.0	BC11_run2
21	885.0	BC11_run2
22	1017.0	BC11_run2
23	1392.0	BC11_run2
24	1882.0	BC11_run2
25	2267.0	BC11_run2
26	2530.0	BC11_run2
27	3099.0	BC11_run2
28	3312.0	BC11_run2
29	3922.0	BC11_run2
30	5159.0	BC11_run2
31	6599.0	BC11_run2
32	9476.0	BC11_run2
33	8862.0	BC11_run2
34	10055.0	BC11_run2
35	12820.0	BC11_run2
36	19478.0	BC11_run2
37	42807.0	BC11_run2
38	218200.0	BC11_run2
39	4733023.0	BC11_run2
15	6.0	BC15_run1
16	50.0	BC15_run1
17	96.0	BC15_run1
18	162.0	BC15_run1
19	204.0	BC15_run1
20	298.0	BC15_run1
21	418.0	BC15_run1
22	795.0	BC15_run1
23	1567.0	BC15_run1
24	2703.0	BC15_run1
25	3867.0	BC15_run1
26	4204.0	BC15_run1
27	4078.0	BC15_run1
28	4305.0	BC15_run1
29	4712.0	BC15_run1
30	5433.0	BC15_run1
31	5937.0	BC15_run1
32	7081.0	BC15_run1
33	8740.0	BC15_run1
34	11823.0	BC15_run1
35	16843.0	BC15_run1
36	25756.0	BC15_run1
37	47646.0	BC15_run1
38	206032.0	BC15_run1
39	6133738.0	BC15_run1
12	1.0	BC12_run1
13	0.0	BC12_run1
14	0.0	BC12_run1
15	1.0	BC12_run1
16	31.0	BC12_run1
17	39.0	BC12_run1
18	90.0	BC12_run1
19	144.0	BC12_run1
20	344.0	BC12_run1
21	564.0	BC12_run1
22	780.0	BC12_run1
23	1154.0	BC12_run1
24	1859.0	BC12_run1
25	2484.0	BC12_run1
26	2874.0	BC12_run1
27	2869.0	BC12_run1
28	3116.0	BC12_run1
29	3625.0	BC12_run1
30	4072.0	BC12_run1
31	4605.0	BC12_run1
32	5468.0	BC12_run1
33	6551.0	BC12_run1
34	8374.0	BC12_run1
35	11067.0	BC12_run1
36	16273.0	BC12_run1
37	32008.0	BC12_run1
38	171077.0	BC12_run1
39	4231487.0	BC12_run1
11	1.0	BC7_run1
12	0.0	BC7_run1
13	0.0	BC7_run1
14	1.0	BC7_run1
15	2.0	BC7_run1
16	54.0	BC7_run1
17	98.0	BC7_run1
18	113.0	BC7_run1
19	260.0	BC7_run1
20	542.0	BC7_run1
21	788.0	BC7_run1
22	1144.0	BC7_run1
23	1790.0	BC7_run1
24	3198.0	BC7_run1
25	4583.0	BC7_run1
26	5292.0	BC7_run1
27	5590.0	BC7_run1
28	6093.0	BC7_run1
29	6615.0	BC7_run1
30	7007.0	BC7_run1
31	7718.0	BC7_run1
32	8671.0	BC7_run1
33	10800.0	BC7_run1
34	13287.0	BC7_run1
35	17940.0	BC7_run1
36	26132.0	BC7_run1
37	47873.0	BC7_run1
38	233569.0	BC7_run1
39	6674482.0	BC7_run1
15	1.0	BC11_run3
16	89.0	BC11_run3
17	197.0	BC11_run3
18	304.0	BC11_run3
19	746.0	BC11_run3
20	1739.0	BC11_run3
21	2801.0	BC11_run3
22	3852.0	BC11_run3
23	4732.0	BC11_run3
24	5825.0	BC11_run3
25	7175.0	BC11_run3
26	9256.0	BC11_run3
27	11404.0	BC11_run3
28	14391.0	BC11_run3
29	18323.0	BC11_run3
30	22653.0	BC11_run3
31	28625.0	BC11_run3
32	36213.0	BC11_run3
33	46845.0	BC11_run3
34	63638.0	BC11_run3
35	93041.0	BC11_run3
36	154447.0	BC11_run3
37	335060.0	BC11_run3
38	1503555.0	BC11_run3
39	8137311.0	BC11_run3
9	3.0	BC14_run2
10	3.0	BC14_run2
11	2.0	BC14_run2
12	8.0	BC14_run2
13	4.0	BC14_run2
14	13.0	BC14_run2
15	44.0	BC14_run2
16	233.0	BC14_run2
17	289.0	BC14_run2
18	472.0	BC14_run2
19	609.0	BC14_run2
20	603.0	BC14_run2
21	701.0	BC14_run2
22	1013.0	BC14_run2
23	959.0	BC14_run2
24	1323.0	BC14_run2
25	1702.0	BC14_run2
26	2041.0	BC14_run2
27	2500.0	BC14_run2
28	3277.0	BC14_run2
29	4393.0	BC14_run2
30	5725.0	BC14_run2
31	7316.0	BC14_run2
32	10080.0	BC14_run2
33	11277.0	BC14_run2
34	16182.0	BC14_run2
35	26940.0	BC14_run2
36	52947.0	BC14_run2
37	134555.0	BC14_run2
38	365712.0	BC14_run2
39	3340723.0	BC14_run2
15	2.0	BC16_run1
16	27.0	BC16_run1
17	73.0	BC16_run1
18	147.0	BC16_run1
19	269.0	BC16_run1
20	423.0	BC16_run1
21	564.0	BC16_run1
22	913.0	BC16_run1
23	1724.0	BC16_run1
24	3353.0	BC16_run1
25	4737.0	BC16_run1
26	5036.0	BC16_run1
27	4542.0	BC16_run1
28	4566.0	BC16_run1
29	4953.0	BC16_run1
30	5435.0	BC16_run1
31	6037.0	BC16_run1
32	7109.0	BC16_run1
33	8915.0	BC16_run1
34	11750.0	BC16_run1
35	16427.0	BC16_run1
36	25165.0	BC16_run1
37	47313.0	BC16_run1
38	236289.0	BC16_run1
39	8057017.0	BC16_run1
4	1.0	BC14_run1
5	0.0	BC14_run1
6	0.0	BC14_run1
7	0.0	BC14_run1
8	0.0	BC14_run1
9	1.0	BC14_run1
10	0.0	BC14_run1
11	0.0	BC14_run1
12	0.0	BC14_run1
13	0.0	BC14_run1
14	0.0	BC14_run1
15	11.0	BC14_run1
16	145.0	BC14_run1
17	249.0	BC14_run1
18	432.0	BC14_run1
19	508.0	BC14_run1
20	488.0	BC14_run1
21	629.0	BC14_run1
22	995.0	BC14_run1
23	1118.0	BC14_run1
24	1553.0	BC14_run1
25	2239.0	BC14_run1
26	2432.0	BC14_run1
27	2690.0	BC14_run1
28	3317.0	BC14_run1
29	4261.0	BC14_run1
30	5077.0	BC14_run1
31	6349.0	BC14_run1
32	7525.0	BC14_run1
33	9722.0	BC14_run1
34	14220.0	BC14_run1
35	23063.0	BC14_run1
36	40412.0	BC14_run1
37	105220.0	BC14_run1
38	364271.0	BC14_run1
39	3187384.0	BC14_run1
15	5.0	BC14_run3
16	72.0	BC14_run3
17	88.0	BC14_run3
18	114.0	BC14_run3
19	293.0	BC14_run3
20	428.0	BC14_run3
21	483.0	BC14_run3
22	572.0	BC14_run3
23	647.0	BC14_run3
24	759.0	BC14_run3
25	1017.0	BC14_run3
26	1331.0	BC14_run3
27	1840.0	BC14_run3
28	2518.0	BC14_run3
29	3452.0	BC14_run3
30	4574.0	BC14_run3
31	6209.0	BC14_run3
32	8856.0	BC14_run3
