GC_Content	Count	sample
74	29246.5	BC8_run3
75	25485.0	BC8_run3
76	19184.0	BC8_run3
77	16539.5	BC8_run3
78	14148.0	BC8_run3
79	9460.0	BC8_run3
80	5882.5	BC8_run3
81	3963.5	BC8_run3
82	1523.5	BC8_run3
83	490.0	BC8_run3
84	294.5	BC8_run3
85	203.5	BC8_run3
86	104.0	BC8_run3
87	68.0	BC8_run3
88	66.5	BC8_run3
89	61.5	BC8_run3
90	44.5	BC8_run3
91	31.0	BC8_run3
92	25.0	BC8_run3
93	21.0	BC8_run3
94	19.0	BC8_run3
95	19.5	BC8_run3
96	20.0	BC8_run3
97	18.0	BC8_run3
98	10.0	BC8_run3
99	6.0	BC8_run3
100	9.0	BC8_run3
0	1.0	BC10_run1
1	0.5	BC10_run1
2	0.0	BC10_run1
3	0.0	BC10_run1
4	1.0	BC10_run1
5	3.0	BC10_run1
6	10.0	BC10_run1
7	20.0	BC10_run1
8	21.5	BC10_run1
9	26.0	BC10_run1
10	68.5	BC10_run1
11	127.5	BC10_run1
12	144.5	BC10_run1
13	181.5	BC10_run1
14	323.0	BC10_run1
15	651.5	BC10_run1
16	950.0	BC10_run1
17	1393.5	BC10_run1
18	2419.0	BC10_run1
19	4137.5	BC10_run1
20	5427.0	BC10_run1
21	6930.5	BC10_run1
22	10427.0	BC10_run1
23	15495.0	BC10_run1
24	18795.0	BC10_run1
25	23412.5	BC10_run1
26	31692.0	BC10_run1
27	40647.0	BC10_run1
28	46243.5	BC10_run1
29	53238.0	BC10_run1
30	66355.0	BC10_run1
31	82152.5	BC10_run1
32	91582.5	BC10_run1
33	102656.5	BC10_run1
34	123556.0	BC10_run1
35	144497.5	BC10_run1
36	155359.5	BC10_run1
37	164940.0	BC10_run1
38	181020.0	BC10_run1
39	192540.5	BC10_run1
40	197796.5	BC10_run1
41	209695.5	BC10_run1
42	238915.5	BC10_run1
43	253933.5	BC10_run1
44	249321.0	BC10_run1
45	253805.0	BC10_run1
46	266627.5	BC10_run1
47	276462.0	BC10_run1
48	280763.5	BC10_run1
49	296084.5	BC10_run1
50	329159.0	BC10_run1
51	376689.0	BC10_run1
52	404578.5	BC10_run1
53	372550.5	BC10_run1
54	353318.5	BC10_run1
55	343679.5	BC10_run1
56	324927.5	BC10_run1
57	309337.5	BC10_run1
58	280437.0	BC10_run1
59	288424.0	BC10_run1
60	295644.0	BC10_run1
61	271143.0	BC10_run1
62	268568.0	BC10_run1
63	266890.5	BC10_run1
64	253548.0	BC10_run1
65	207777.0	BC10_run1
66	131661.5	BC10_run1
67	104650.5	BC10_run1
68	108664.5	BC10_run1
69	86021.0	BC10_run1
70	54693.5	BC10_run1
71	48739.0	BC10_run1
72	51445.0	BC10_run1
73	53289.0	BC10_run1
74	59952.0	BC10_run1
75	55427.0	BC10_run1
76	44737.5	BC10_run1
77	46183.0	BC10_run1
78	44859.0	BC10_run1
79	27889.0	BC10_run1
80	14756.0	BC10_run1
81	10133.0	BC10_run1
82	3943.5	BC10_run1
83	1644.0	BC10_run1
84	1452.0	BC10_run1
85	2066.5	BC10_run1
86	1550.0	BC10_run1
87	305.5	BC10_run1
88	297.0	BC10_run1
89	176.5	BC10_run1
