Length	Count	sample
68	62571.0	BC8_run1
70	105324.0	BC8_run1
72	304195.0	BC8_run1
74	4048027.0	BC8_run1
24	1405.0	BC11_run2
26	2480.0	BC11_run2
28	1957.0	BC11_run2
30	2491.0	BC11_run2
32	2426.0	BC11_run2
34	2267.0	BC11_run2
36	2490.0	BC11_run2
38	2976.0	BC11_run2
40	2038.0	BC11_run2
42	2004.0	BC11_run2
44	2413.0	BC11_run2
46	3026.0	BC11_run2
48	2442.0	BC11_run2
50	2626.0	BC11_run2
52	2874.0	BC11_run2
54	3723.0	BC11_run2
56	3282.0	BC11_run2
58	3819.0	BC11_run2
60	3863.0	BC11_run2
62	4476.0	BC11_run2
64	11962.0	BC11_run2
66	11895.0	BC11_run2
68	61389.0	BC11_run2
70	114255.0	BC11_run2
72	338086.0	BC11_run2
74	4495212.0	BC11_run2
24	1466.0	BC15_run1
26	3511.0	BC15_run1
28	3026.0	BC15_run1
30	2844.0	BC15_run1
32	4155.0	BC15_run1
34	6399.0	BC15_run1
36	7500.0	BC15_run1
38	9718.0	BC15_run1
40	10562.0	BC15_run1
42	12735.0	BC15_run1
44	17368.0	BC15_run1
46	20060.0	BC15_run1
48	22536.0	BC15_run1
50	29855.0	BC15_run1
52	42718.0	BC15_run1
54	33865.0	BC15_run1
56	38049.0	BC15_run1
58	51069.0	BC15_run1
60	44432.0	BC15_run1
62	50529.0	BC15_run1
64	63230.0	BC15_run1
66	69565.0	BC15_run1
68	132853.0	BC15_run1
70	196618.0	BC15_run1
72	450434.0	BC15_run1
74	5171397.0	BC15_run1
24	1949.0	BC12_run1
26	3580.0	BC12_run1
28	2740.0	BC12_run1
30	3020.0	BC12_run1
32	3328.0	BC12_run1
34	2907.0	BC12_run1
36	2957.0	BC12_run1
38	3185.0	BC12_run1
40	2217.0	BC12_run1
42	2228.0	BC12_run1
44	2836.0	BC12_run1
46	3265.0	BC12_run1
48	2529.0	BC12_run1
50	2996.0	BC12_run1
52	3480.0	BC12_run1
54	4294.0	BC12_run1
56	4158.0	BC12_run1
58	4329.0	BC12_run1
60	4775.0	BC12_run1
62	5195.0	BC12_run1
64	11484.0	BC12_run1
66	12131.0	BC12_run1
68	55195.0	BC12_run1
70	102097.0	BC12_run1
72	297414.0	BC12_run1
74	3966668.0	BC12_run1
24	8359.0	BC7_run1
26	12228.0	BC7_run1
28	12479.0	BC7_run1
30	9841.0	BC7_run1
32	9645.0	BC7_run1
34	8608.0	BC7_run1
36	8247.0	BC7_run1
38	8178.0	BC7_run1
40	5128.0	BC7_run1
42	5035.0	BC7_run1
44	6357.0	BC7_run1
46	7014.0	BC7_run1
48	6288.0	BC7_run1
50	7893.0	BC7_run1
52	15090.0	BC7_run1
54	8949.0	BC7_run1
56	8072.0	BC7_run1
58	14208.0	BC7_run1
60	7897.0	BC7_run1
62	9216.0	BC7_run1
64	13001.0	BC7_run1
66	18441.0	BC7_run1
68	64877.0	BC7_run1
70	154976.0	BC7_run1
72	436175.0	BC7_run1
74	6217441.0	BC7_run1
24	2915.0	BC11_run3
26	4873.0	BC11_run3
28	4027.0	BC11_run3
30	4884.0	BC11_run3
32	4709.0	BC11_run3
34	4795.0	BC11_run3
36	4487.0	BC11_run3
38	5310.0	BC11_run3
40	4279.0	BC11_run3
42	4364.0	BC11_run3
44	5380.0	BC11_run3
46	6288.0	BC11_run3
48	5323.0	BC11_run3
50	5777.0	BC11_run3
52	6341.0	BC11_run3
54	8031.0	BC11_run3
56	7235.0	BC11_run3
58	8598.0	BC11_run3
60	8803.0	BC11_run3
62	10028.0	BC11_run3
64	24961.0	BC11_run3
66	26327.0	BC11_run3
68	129015.0	BC11_run3
70	242868.0	BC11_run3
72	706627.0	BC11_run3
74	9255978.0	BC11_run3
24	4521.0	BC14_run2
26	6385.0	BC14_run2
28	5077.0	BC14_run2
30	4318.0	BC14_run2
32	5083.0	BC14_run2
34	7501.0	BC14_run2
36	10024.0	BC14_run2
38	10070.0	BC14_run2
40	9528.0	BC14_run2
42	10216.0	BC14_run2
44	13847.0	BC14_run2
46	14290.0	BC14_run2
48	15887.0	BC14_run2
50	25054.0	BC14_run2
52	219816.0	BC14_run2
54	30046.0	BC14_run2
56	36912.0	BC14_run2
58	220945.0	BC14_run2
60	39072.0	BC14_run2
62	34069.0	BC14_run2
64	39248.0	BC14_run2
66	35181.0	BC14_run2
68	72061.0	BC14_run2
70	111375.0	BC14_run2
72	221346.0	BC14_run2
74	2789777.0	BC14_run2
24	2359.0	BC16_run1
26	4843.0	BC16_run1
28	4073.0	BC16_run1
30	3858.0	BC16_run1
32	5231.0	BC16_run1
34	6771.0	BC16_run1
